"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","33","8","1","46.103809","0","138"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","33","10","1","46.903675","0","166"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","33","1","1","46.553425","0","161"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","33","10","1","46.874817","0","136"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","33","10","1","48.846119","0","155"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","33","3","1","46.685040","0","132"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","33","10","1","47.958538","0","137"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","36","10","1","44.829552","0","203"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","33","5","1","49.141758","0","135"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","33","5","1","48.568638","0","135"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","33","10","1","49.595631","0","183"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","54","5","1","150.093292","0","332"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","33","6","1","47.467983","0","120"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","12","12","2","15.338991","0","21"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","33","7","1","48.663471","0","148"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","33","8","1","48.186005","0","170"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","33","10","1","47.651321","0","102"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","33","10","1","42.983364","0","105"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","33","9","1","44.403477","0","118"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","33","10","1","42.740986","0","144"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","33","5","1","42.384499","0","104"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","63","10","1","68.650101","0","309"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","6","6","1","7.624708","0","7"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","6","6","1","7.761161","0","6"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","33","10","1","45.593578","0","102"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","33","2","1","43.657349","0","136"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","33","10","1","47.988136","0","132"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","18","4","1","21.782764","0","61"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","18","10","1","22.762836","0","59"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","33","5","1","46.487419","0","135"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","59","12","1","64.038139","0","303"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","36","10","1","27.546850","0","136"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","33","10","1","46.307610","0","147"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","34","10","1","26.805954","0","157"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","28","10","1","24.586430","0","94"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","36","10","1","28.732149","0","136"
